fid,feature_id,rdf_seeals,identifica,bouwjaar,status,gebruiksdo,oppervlakt,oppervla_1,aantal_ver,solar_Ener,pand_id_16,identificatie,EnergyEst
180,1185798,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000210210,1.53E+14,1960,Pand in gebruik,overige gebruiksfunctie,34,34,1,110.593,1.53E+14,NL.IMBAG.Pand.0153100000210210,110.593
181,1215830,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000243755,1.53E+14,1960,Pand in gebruik,overige gebruiksfunctie,34,34,1,109.183,1.53E+14,NL.IMBAG.Pand.0153100000243755,109.183
182,1219636,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000251637,1.53E+14,1956,Pand in gebruik,woonfunctie,58,70,4,408.202,1.53E+14,NL.IMBAG.Pand.0153100000251637,408.202
183,1191064,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000215385,1.53E+14,1956,Pand in gebruik,woonfunctie,92,92,1,118.109,1.53E+14,NL.IMBAG.Pand.0153100000215385,118.109
184,1224365,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000251549,1.53E+14,1956,Pand in gebruik,woonfunctie,92,92,1,114.501,1.53E+14,NL.IMBAG.Pand.0153100000251549,114.501
185,1229350,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000259754,1.53E+14,1956,Pand in gebruik,woonfunctie,58,70,4,410.06,1.53E+14,NL.IMBAG.Pand.0153100000259754,410.06
186,1230964,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000260538,1.53E+14,1960,Pand in gebruik,overige gebruiksfunctie,17,17,1,57.032,1.53E+14,NL.IMBAG.Pand.0153100000260538,57.032
187,1236832,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000265797,1.53E+14,1956,Pand in gebruik,woonfunctie,58,70,4,404.277,1.53E+14,NL.IMBAG.Pand.0153100000265797,404.277
188,1238102,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000266578,1.53E+14,1960,Pand in gebruik,overige gebruiksfunctie,34,34,1,104.134,1.53E+14,NL.IMBAG.Pand.0153100000266578,104.134
189,1238821,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000269897,1.53E+14,1954,Pand in gebruik,overige gebruiksfunctie,16,16,1,72.787,1.53E+14,NL.IMBAG.Pand.0153100000269897,72.787
190,1239810,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000270218,1.53E+14,1960,Pand in gebruik,overige gebruiksfunctie,17,17,1,51.818,1.53E+14,NL.IMBAG.Pand.0153100000270218,51.818
191,1239923,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000268905,1.53E+14,1956,Pand in gebruik,woonfunctie,92,92,1,114.306,1.53E+14,NL.IMBAG.Pand.0153100000268905,114.306
192,1240305,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000272707,1.53E+14,1960,Pand in gebruik,overige gebruiksfunctie,34,34,1,109.935,1.53E+14,NL.IMBAG.Pand.0153100000272707,109.935
193,1240670,http://bag.basisregistraties.overheid.nl/bag/id/pand/0153100000272270,1.53E+14,1960,Pand in gebruik,overige gebruiksfunctie,17,17,1,47.675,1.53E+14,NL.IMBAG.Pand.0153100000272270,47.675
